,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Luciano Abecasis\Luciano-Abecasis,ar ARG,DF,Godoy Cruz,28,1990,11,11,909,0,0,0,0,0,2,0.00,0.00,0.00,0.00,0.00,Matches
2,Mathías Abero\Mathias-Abero,uy URU,DF,Tucumán,28,1990,19,19,1710,1,0,0,0,6,0,0.05,0.00,0.05,0.05,0.05,Matches
3,Ramón Ábila\Ramon-Abila,ar ARG,FW,Boca Juniors,28,1989,16,8,800,6,5,0,0,2,0,0.68,0.56,1.24,0.68,1.24,Matches
4,Luis Abram\Luis-Abram,pe PER,DF,Vélez Sarsf,22,1996,21,19,1721,2,1,0,0,2,1,0.10,0.05,0.16,0.10,0.16,Matches
5,Gustavo Abregú\Gustavo-Abregu,ar ARG,DF,San Martin,21,1997,5,3,284,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
6,Lucas Acevedo\Lucas-Acevedo,ar ARG,DF,San Martin,26,1991,23,23,2024,4,0,0,0,5,1,0.18,0.00,0.18,0.18,0.18,Matches
7,Nelson Acevedo\Nelson-Acevedo,ar ARG,MF,CA Unión,30,1988,23,22,1819,0,1,0,0,4,0,0.00,0.05,0.05,0.00,0.05,Matches
8,Guillermo Acosta\Guillermo-Acosta,ar ARG,MF,Tucumán,29,1988,13,13,1148,2,4,0,0,2,1,0.16,0.31,0.47,0.16,0.47,Matches
9,Guillermo Acosta\Guillermo-Acosta,ar ARG,DFMF,Lanús,29,1988,5,0,69,1,0,0,0,0,0,1.30,0.00,1.30,1.30,1.30,Matches
10,Lautaro Acosta\Lautaro-Acosta,ar ARG,FW,Lanús,30,1988,23,23,2015,3,3,0,0,5,0,0.13,0.13,0.27,0.13,0.27,Matches
11,Alan Aguerre\Alan-Aguerre,ar ARG,GK,Newell's OB,27,1990,20,20,1800,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
12,Jonás Aguirre\Jonas-Aguirre,ar ARG,MFFW,Belgrano,26,1992,12,3,406,2,0,0,0,0,0,0.44,0.00,0.44,0.44,0.44,Matches
13,Jonás Aguirre\Jonas-Aguirre,ar ARG,MF,Rosario Cent,26,1992,4,3,218,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
14,Jorge Agustín Rodríguez\Jorge-Agustin-Rodriguez,ar ARG,DF,Banfield,22,1995,18,18,1620,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
15,Gabriel Alanís\Gabriel-Alanis,ar ARG,MFDF,Belgrano,24,1994,11,11,905,0,2,0,0,1,0,0.00,0.20,0.20,0.00,0.20,Matches
16,Lucas Albertengo\Lucas-Albertengo,ar ARG,FW,Estudiantes,27,1991,19,14,1319,3,0,0,0,1,0,0.20,0.00,0.20,0.20,0.20,Matches
17,Diego Alberto Morales\Diego-Alberto-Morales,ar ARG,MF,Tigre,31,1986,20,13,1270,2,4,0,0,2,0,0.14,0.28,0.43,0.14,0.43,Matches
18,Emiliano Albín\Emiliano-Albin,uy URU,DF,San Martin,29,1989,2,2,158,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
19,Gerardo Alcoba\Gerardo-Alcoba,uy URU,DF,Tigre,33,1984,10,10,885,0,1,0,0,3,0,0.00,0.10,0.10,0.00,0.10,Matches
20,Omar Alderete\Omar-Alderete,py PAR,DF,CA Huracán,21,1996,8,8,720,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
21,Daniel Alejandro Hernández\Daniel-Alejandro-Hernandez,co COL,MF,CA Huracán,27,1990,3,0,121,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
22,Daniel Alejandro Hernández\Daniel-Alejandro-Hernandez,co COL,MF,San Lorenzo,27,1990,2,0,48,1,1,0,0,0,0,1.87,1.87,3.75,1.87,3.75,Matches
