,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Abner\Abner,br BRA,DF,Atl Paranaense,22,1996,4,2,217,0,1,0,0,0,0,0.00,0.41,0.41,0.00,0.41,Matches
2,Abner\Abner,br BRA,DF,Atl Paranaense,18,2000,8,6,548,0,1,0,0,0,0,0.00,0.16,0.16,0.00,0.16,Matches
3,Adalberto\Adalberto,br BRA,DF,Fortaleza,31,1987,1,0,45,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
4,Adriano\Adriano,br BRA,DF,Atl Paranaense,34,1984,11,7,607,1,1,0,0,3,0,0.15,0.15,0.30,0.15,0.30,Matches
5,Luiz Adriano\Luiz-Adriano,br BRA,FW,Palmeiras,31,1987,13,11,901,6,1,0,0,0,0,0.60,0.10,0.70,0.60,0.70,Matches
6,Felipe Aguilar\Felipe-Aguilar,co COL,DF,Santos,26,1993,17,17,1436,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
7,Airton\Airton,br BRA,MF,Fluminense,28,1990,11,8,464,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches
8,José Aldo\Jose-Aldo,br BRA,MF,Internacional,20,1998,1,0,8,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
9,Alecsandro\Alecsandro,br BRA,FW,CSA,37,1981,20,15,1171,2,0,0,1,1,0,0.15,0.00,0.15,0.15,0.15,Matches
10,Alerrandro\Alerrandro,br BRA,FW,Atlético Mineiro,19,2000,10,6,557,2,1,0,0,0,0,0.32,0.16,0.48,0.32,0.48,Matches
11,Matheus Alessandro\Matheus-Alessandro,br BRA,FW,Fortaleza,22,1996,8,0,129,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
12,Alexander\Alexander,br BRA,GK,Vasco da Gama,19,1999,2,2,180,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
13,Alison\Alison,br BRA,MF,Santos,25,1993,23,15,1489,0,1,0,0,8,0,0.00,0.06,0.06,0.00,0.06,Matches
14,Alisson\Alisson,br BRA,MF,Grêmio,25,1993,22,22,1737,3,6,0,0,5,0,0.16,0.31,0.47,0.16,0.47,Matches
15,Allan\Allan,br BRA,MF,Fluminense,21,1997,28,28,2500,0,1,0,0,13,1,0.00,0.04,0.04,0.00,0.04,Matches
16,Henrique Almeida\Henrique-Almeida,br BRA,MFFW,Chapecoense,27,1991,12,10,783,3,0,1,1,3,0,0.34,0.00,0.34,0.23,0.23,Matches
