,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Diego Abella\Diego-Abella,mx MEX,MF,Toluca,19,1998,5,1,105,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
2,José Abella\Jose-Abella,mx MEX,DF,Santos,24,1994,32,32,2851,0,2,0,0,10,2,0.00,0.06,0.06,0.00,0.06,Matches
3,Clifford Aboagye\Clifford-Aboagye,gh GHA,MF,Atlas,23,1995,27,16,1441,1,2,0,0,0,0,0.06,0.12,0.19,0.06,0.19,Matches
4,Joe Abrigo\Joe-Abrigo,cl CHI,MF,Veracruz,23,1995,16,5,544,1,0,0,0,1,0,0.17,0.00,0.17,0.17,0.17,Matches
5,Iván Acero\Ivan-Acero,mx MEX,MF,Toluca,18,2000,4,1,108,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
6,Carlos Acevedo\Carlos-Acevedo,mx MEX,GK,Santos,22,1996,6,5,502,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
7,Gabriel Achilier\Gabriel-Achilier,ec ECU,DF,Morelia,33,1985,30,29,2548,1,1,0,0,7,2,0.04,0.04,0.07,0.04,0.07,Matches
8,Alan Acosta\Alan-Acosta,mx MEX,MF,Puebla,21,1996,5,3,267,0,1,0,0,1,1,0.00,0.34,0.34,0.00,0.34,Matches
9,Alan Acosta\Alan-Acosta,mx MEX,MF,UNAM,21,1996,2,0,30,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
10,Gael Acosta\Gael-Acosta,mx MEX,FWMF,Querétaro,26,1992,15,7,721,1,0,0,0,1,0,0.12,0.00,0.12,0.12,0.12,Matches
11,Francisco Acuña\Francisco-Acuna,mx MEX,FWMF,Puebla,30,1988,21,8,880,1,1,0,0,2,0,0.10,0.10,0.20,0.10,0.20,Matches
12,Carlos Adrián Morales\Carlos-Adrian-Morales,mx MEX,MF,Morelia,38,1979,1,1,10,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
13,Daniel Aguilar\Daniel-Aguilar,mx MEX,DF,Atlas,20,1998,2,2,177,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
14,Paul Aguilar\Paul-Aguilar,mx MEX,DF,América,32,1986,29,29,2597,0,3,0,0,11,1,0.00,0.10,0.10,0.00,0.10,Matches
15,Emanuel Aguilera\Emanuel-Aguilera,ar ARG,DF,América,29,1989,27,26,2242,5,1,1,1,4,1,0.20,0.04,0.24,0.16,0.20,Matches
16,César Aguirre\Cesar-Aguirre,mx MEX,FW,Necaxa,19,1999,2,1,52,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
17,Eduardo Aguirre\Eduardo-Aguirre,mx MEX,FW,Santos,19,1998,5,0,49,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
18,Érick Aguirre\Erick-Aguirre,mx MEX,MFFW,Pachuca,21,1997,26,15,1388,0,3,0,0,1,0,0.00,0.19,0.19,0.00,0.19,Matches
19,Gaddi Aguirre\Gaddi-Aguirre,mx MEX,DF,Atlas,22,1996,3,2,225,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
20,Arnaud Ake\Arnaud-Ake,ci CIV,FW,Querétaro,20,1998,17,9,874,3,0,0,0,0,0,0.31,0.00,0.31,0.31,0.31,Matches
21,Jesús Alberto Angulo\Jesus-Alberto-Angulo,mx MEX,DF,Santos,20,1998,20,20,1652,0,2,0,0,5,1,0.00,0.11,0.11,0.00,0.11,Matches
22,Carlos Alberto Gutiérrez\Carlos-Alberto-Gutierrez,mx MEX,DF,Veracruz,28,1990,12,12,924,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches
